Name,Age,WhatsApp,Instagram,Snapchat,TikTok,WeChat,Twitter,Facebook,LinkedIn,Telegram,BeReal,Messages,TotalSocialMediaScreenTime,Number.of.times.opened..hourly.intervals.,SocialMediaAddiction
Student_165,24,60,39,1,25,15,2,26,1,3,6,56,234,20,Not Addicted
Student_31,19,153,178,112,112,71,51,56,31,42,13,145,964,13,Addicted
Student_27,23,104,165,113,159,38,30,84,17,92,19,133,954,26,Addicted
Student_102,21,47,12,0,30,25,13,39,1,12,2,33,214,36,Not Addicted
Student_126,18,58,46,0,52,26,1,29,6,2,1,55,276,25,Not Addicted
Student_54,20,221,94,78,181,92,55,62,37,30,13,118,981,14,Addicted
Student_150,18,51,58,9,32,25,5,6,7,19,6,45,263,48,Not Addicted
Student_71,21,113,107,60,127,35,60,65,56,94,23,62,802,19,Addicted
Student_152,21,49,55,32,35,22,4,31,18,23,1,52,322,9,Not Addicted
Student_194,22,61,30,3,58,15,1,3,11,22,1,22,227,20,Not Addicted
Student_170,24,76,42,4,39,1,23,9,0,18,1,24,237,20,Not Addicted
Student_84,23,66,49,27,41,15,4,23,14,3,8,20,270,11,Not Addicted
Student_85,18,75,6,39,35,23,0,14,13,5,3,13,226,25,Not Addicted
Student_146,24,14,40,13,53,2,16,34,12,3,1,57,245,34,Not Addicted
Student_179,23,45,48,16,34,12,8,34,14,20,9,57,297,24,Not Addicted
Student_182,22,66,28,22,36,26,4,28,11,2,0,38,261,5,Not Addicted
Student_93,18,35,47,31,57,15,17,12,4,13,2,43,276,15,Not Addicted
Student_75,23,134,141,96,143,81,87,91,20,55,24,83,955,36,Addicted
Student_80,21,177,176,62,109,46,74,84,29,41,10,63,871,17,Addicted
Student_23,20,111,167,115,161,56,54,62,38,57,29,74,924,59,Addicted
Student_7,22,192,87,68,195,89,66,61,21,60,24,73,936,11,Addicted
Student_148,25,71,27,17,4,10,2,18,5,11,1,24,190,12,Not Addicted
Student_122,22,24,8,31,53,18,23,30,19,4,7,35,252,9,Not Addicted
Student_70,18,142,107,61,140,97,81,72,54,91,26,68,939,41,Addicted
Student_100,25,23,42,18,26,14,0,28,5,12,6,20,194,42,Not Addicted
Student_76,25,154,154,91,128,45,61,107,46,63,20,65,934,15,Addicted
Student_153,24,48,44,22,46,11,21,33,8,17,6,57,313,17,Not Addicted
Student_47,25,181,142,129,194,44,78,61,48,40,24,142,1083,40,Addicted
Student_103,22,46,27,13,5,8,14,33,2,18,5,16,187,43,Not Addicted
Student_39,20,178,106,76,87,86,66,73,40,39,15,127,893,53,Addicted
Student_187,19,75,57,8,37,29,2,31,5,29,0,25,298,26,Not Addicted
Student_192,23,40,47,8,43,11,2,33,8,13,9,11,225,37,Not Addicted
Student_46,20,173,130,118,138,43,76,86,28,78,28,99,997,23,Addicted
Student_136,24,73,45,33,48,9,20,38,10,6,4,57,343,10,Not Addicted
Student_142,21,69,41,15,33,11,1,39,13,28,3,34,287,21,Not Addicted
Student_44,23,142,121,70,127,37,57,72,19,94,25,93,857,54,Addicted
Student_30,21,144,144,61,179,68,34,83,10,58,14,76,871,30,Addicted
Student_22,23,147,141,62,189,95,77,78,14,79,11,97,990,17,Addicted
Student_128,23,71,32,23,50,28,6,30,11,9,4,19,283,42,Not Addicted
Student_59,19,93,111,98,106,78,65,110,12,34,28,112,847,51,Addicted
Student_171,23,16,6,36,16,22,2,0,12,25,0,13,148,34,Not Addicted
Student_119,20,72,48,32,45,20,6,37,2,17,0,44,323,17,Not Addicted
Student_55,19,91,122,79,188,91,55,108,17,50,12,115,928,37,Addicted
Student_18,19,177,113,111,178,53,76,82,18,65,11,66,950,48,Addicted
Student_40,23,149,88,97,86,65,51,113,28,85,11,69,842,30,Addicted
Student_143,23,39,25,3,54,27,24,30,14,23,4,21,264,39,Not Addicted
Student_15,21,239,152,111,178,87,87,61,22,53,11,73,1074,11,Addicted
Student_106,21,42,50,29,33,14,16,12,17,22,8,24,267,40,Not Addicted
Student_11,18,206,84,103,115,96,38,82,26,45,20,137,952,40,Addicted
Student_163,21,75,30,19,33,17,26,35,17,14,4,52,322,16,Not Addicted
Student_98,21,56,14,15,21,24,24,39,2,22,7,28,252,8,Not Addicted
Student_16,23,142,151,121,191,96,87,116,49,57,15,118,1143,58,Addicted
Student_123,20,33,9,6,42,15,10,22,13,23,5,20,198,48,Not Addicted
Student_32,21,220,126,103,147,55,58,117,26,75,19,149,1095,19,Addicted
Student_53,22,193,102,126,117,87,45,111,29,62,17,123,1012,40,Addicted
Student_199,24,14,11,36,54,9,7,14,14,8,8,20,195,18,Not Addicted
Student_2,24,182,87,86,103,35,48,65,38,47,21,111,823,48,Addicted
Student_91,19,14,40,22,24,4,23,5,14,27,8,28,209,45,Not Addicted
Student_12,18,189,120,83,117,47,41,110,47,86,28,147,1015,24,Addicted
Student_174,20,73,31,8,42,1,12,17,1,11,9,31,236,32,Not Addicted
Student_175,24,24,38,33,39,29,23,13,5,2,9,28,243,55,Not Addicted
Student_162,21,26,57,4,42,12,28,31,7,1,1,32,241,20,Not Addicted
Student_62,19,133,165,116,100,99,66,77,58,52,19,129,1014,48,Addicted
Student_89,25,54,55,12,16,16,12,25,16,2,0,13,221,58,Not Addicted
Student_41,25,103,158,83,146,74,86,98,53,59,22,126,1008,31,Addicted
Student_196,24,24,54,28,16,11,9,34,7,4,8,35,230,42,Not Addicted
Student_78,23,160,168,78,123,59,85,63,44,32,26,143,981,13,Addicted
Student_68,22,171,136,75,176,89,65,101,54,74,23,83,1047,26,Addicted
Student_36,23,162,84,127,127,42,55,70,13,76,29,72,857,12,Addicted
Student_49,21,97,131,79,198,61,75,62,54,92,20,100,969,14,Addicted
Student_67,18,129,141,66,143,82,34,74,53,80,21,121,944,21,Addicted
Student_50,23,124,175,118,101,92,81,72,22,88,25,65,963,29,Addicted
Student_156,22,60,51,18,34,23,16,29,13,8,6,55,313,51,Not Addicted
Student_66,19,104,124,101,190,37,83,61,15,30,18,121,884,25,Addicted
Student_73,23,130,163,71,83,84,87,88,25,63,18,99,911,32,Addicted
Student_25,20,138,178,61,133,46,74,95,47,93,10,148,1023,58,Addicted
Student_104,24,20,51,1,26,12,8,39,16,25,9,34,241,49,Not Addicted
Student_131,22,18,58,36,20,19,26,1,8,28,0,18,232,7,Not Addicted
Student_95,21,28,9,28,22,7,17,4,5,17,4,22,163,28,Not Addicted
Student_81,20,15,51,19,5,14,24,4,10,10,5,22,179,29,Not Addicted
Student_92,21,79,30,18,37,21,29,36,15,9,1,15,290,53,Not Addicted
Student_193,24,56,26,21,58,24,24,28,17,1,1,58,314,57,Not Addicted
Student_132,24,43,55,2,10,6,7,13,5,28,6,12,187,58,Not Addicted
Student_111,23,32,44,28,6,22,26,15,13,28,0,30,244,7,Not Addicted
Student_38,22,221,93,115,199,36,80,59,15,95,11,84,1008,20,Addicted
Student_64,19,184,145,82,176,83,87,65,42,66,10,63,1003,37,Addicted
Student_190,22,47,53,24,18,29,28,25,8,11,4,39,286,43,Not Addicted
Student_96,22,29,24,28,52,24,29,12,18,21,0,50,287,50,Not Addicted
Student_94,24,77,31,29,11,5,3,27,19,10,4,27,243,43,Not Addicted
Student_138,18,69,15,31,38,16,12,31,16,16,0,15,259,27,Not Addicted
Student_5,19,161,90,129,112,75,84,81,27,43,25,115,942,17,Addicted
Student_51,18,170,83,95,189,80,34,79,59,56,17,111,973,22,Addicted
Student_159,21,72,13,17,16,28,19,21,19,20,9,52,286,46,Not Addicted
Student_135,18,49,44,7,35,26,21,11,7,0,4,17,221,26,Not Addicted
Student_110,24,14,17,7,52,16,11,18,7,7,7,24,180,40,Not Addicted
Student_161,21,34,56,0,44,24,16,19,9,3,7,30,242,59,Not Addicted
Student_195,19,65,32,25,48,23,11,16,7,4,5,13,249,16,Not Addicted
Student_133,25,44,33,32,39,2,19,12,15,21,2,30,249,48,Not Addicted
Student_172,25,60,11,37,0,2,2,21,19,21,6,30,209,49,Not Addicted
Student_109,21,19,30,0,56,6,3,23,15,12,3,16,183,37,Not Addicted
Student_168,22,79,30,11,8,11,29,21,8,9,4,45,255,24,Not Addicted
Student_43,23,179,169,129,112,94,43,73,36,62,20,145,1062,8,Addicted
Student_151,21,27,59,6,57,22,4,9,10,27,7,24,252,40,Not Addicted
Student_77,23,178,171,68,96,42,30,88,45,83,25,125,951,14,Addicted
Student_198,25,17,53,22,56,24,14,38,19,12,8,39,302,38,Not Addicted
Student_101,25,73,10,17,56,26,20,2,14,24,9,10,261,46,Not Addicted
Student_154,25,23,19,20,19,6,14,27,16,16,5,32,197,33,Not Addicted
Student_69,23,200,85,119,148,34,63,102,41,33,11,114,950,52,Addicted
Student_88,19,60,55,31,33,20,2,4,2,25,5,55,292,46,Not Addicted
Student_87,22,35,35,0,37,7,16,7,10,21,6,47,221,7,Not Addicted
Student_145,20,46,50,20,23,1,8,23,10,4,7,43,235,27,Not Addicted
Student_79,22,98,141,107,171,48,34,54,28,79,13,134,907,18,Addicted
Student_8,19,211,114,121,154,92,55,99,18,30,14,149,1057,53,Addicted
Student_185,23,42,56,16,50,19,8,5,10,3,3,44,256,24,Not Addicted
Student_28,21,140,170,60,140,72,45,57,57,46,28,98,913,32,Addicted
Student_177,21,42,21,21,24,22,14,11,13,17,1,23,209,58,Not Addicted
Student_58,20,195,92,99,87,87,68,61,10,98,28,92,917,9,Addicted
Student_10,18,177,112,110,151,62,52,82,53,32,11,146,988,46,Addicted
Student_97,21,21,15,29,41,17,4,16,4,11,7,32,197,23,Not Addicted
Student_29,22,197,114,78,120,77,68,75,54,62,26,116,987,13,Addicted
Student_48,24,200,175,62,165,95,59,104,12,55,25,101,1053,43,Addicted
Student_60,23,143,150,60,106,81,62,68,22,32,14,81,819,53,Addicted
Student_130,19,59,13,7,28,29,3,35,3,2,9,55,243,54,Not Addicted
Student_129,20,69,35,22,25,17,19,17,19,18,3,11,255,12,Not Addicted
Student_169,21,15,15,19,8,29,16,16,12,18,5,20,173,7,Not Addicted
Student_137,20,31,26,34,58,6,18,1,12,11,4,11,212,6,Not Addicted
Student_120,24,26,40,22,1,6,23,6,11,18,0,53,206,53,Not Addicted
Student_17,24,91,91,117,168,75,30,114,51,37,27,115,916,5,Addicted
Student_105,23,12,30,27,39,25,14,26,11,18,9,30,241,50,Not Addicted
Student_113,22,53,29,2,44,20,4,27,7,20,5,38,249,12,Not Addicted
Student_141,18,23,50,31,53,2,10,16,17,25,9,35,271,42,Not Addicted
Student_178,23,36,47,23,38,12,24,35,17,7,0,13,252,9,Not Addicted
Student_21,24,110,102,61,97,52,83,93,11,89,28,77,803,51,Addicted
Student_42,19,98,94,128,96,49,58,85,48,34,20,77,787,41,Addicted
Student_166,19,48,56,2,1,12,17,16,0,5,7,24,188,16,Not Addicted
Student_157,24,47,13,35,51,16,8,36,14,3,3,59,285,59,Not Addicted
Student_180,24,38,55,9,2,17,3,11,1,14,7,55,212,44,Not Addicted
Student_197,19,38,25,33,9,14,8,12,17,5,0,34,195,56,Not Addicted
Student_112,25,19,22,38,9,25,25,39,16,22,8,28,251,13,Not Addicted
Student_189,20,14,37,1,11,28,27,22,5,9,4,45,203,12,Not Addicted
Student_34,18,224,82,129,93,54,32,78,34,35,19,84,864,28,Addicted
Student_26,24,148,123,61,114,62,82,51,28,56,24,87,836,25,Addicted
Student_117,21,11,47,18,27,13,27,35,19,17,4,41,259,43,Not Addicted
Student_183,23,36,29,31,43,6,1,10,16,25,7,56,260,34,Not Addicted
Student_52,24,139,173,78,109,54,41,66,37,78,13,85,873,23,Addicted
Student_149,21,13,5,6,55,7,23,29,8,29,8,53,236,26,Not Addicted
Student_191,23,22,33,38,36,20,8,33,6,13,8,27,244,36,Not Addicted
Student_139,20,73,27,23,39,13,13,12,7,29,0,37,273,48,Not Addicted
Student_188,23,19,28,39,33,16,26,10,8,22,2,51,254,22,Not Addicted
Student_164,23,62,45,10,8,0,9,3,0,1,0,25,163,21,Not Addicted
Student_160,22,24,14,1,58,21,25,3,0,1,6,54,207,34,Not Addicted
Student_173,22,51,22,29,24,9,5,25,6,28,6,22,227,27,Not Addicted
Student_82,20,60,8,19,17,11,6,10,19,19,7,40,216,6,Not Addicted
Student_181,22,47,58,29,49,2,13,6,9,0,7,36,256,48,Not Addicted
Student_13,20,193,107,118,183,54,82,100,16,41,16,61,971,8,Addicted
Student_65,18,137,121,90,107,89,39,118,47,46,14,134,942,59,Addicted
